connector,feature,description,hs_endpoint,cypress_test_status
barclaycard,Authentication Flow,"3DS challenge step — presents OTP or biometric prompt to cardholder and processes the authentication result",POST /payments (internal 3DS challenge),not_covered
cybersource,Authentication Flow,"3DS challenge step — presents OTP or biometric prompt to cardholder and processes the authentication result",POST /payments (internal 3DS challenge),not_covered
redsys,Authentication Flow,"3DS challenge step — presents OTP or biometric prompt to cardholder and processes the authentication result",POST /payments (internal 3DS challenge),not_covered
adyen,Balance Check Flow,"Check remaining balance on a gift card before authorizing the payment",POST /payments (internal gift card balance check),covered
adyen,Billing Descriptor,"Custom text shown on the cardholder's bank statement (soft descriptor / statement descriptor)",POST /payments (billing_descriptor in body),covered
checkout,Billing Descriptor,"Custom text shown on the cardholder's bank statement (soft descriptor / statement descriptor)",POST /payments (billing_descriptor in body),covered
finix,Billing Descriptor,"Custom text shown on the cardholder's bank statement (soft descriptor / statement descriptor)",POST /payments (billing_descriptor in body),covered
nuvei,Billing Descriptor,"Custom text shown on the cardholder's bank statement (soft descriptor / statement descriptor)",POST /payments (billing_descriptor in body),covered
stripe,Billing Descriptor,"Custom text shown on the cardholder's bank statement (soft descriptor / statement descriptor)",POST /payments (billing_descriptor in body),covered
trustpay,Billing Descriptor,"Custom text shown on the cardholder's bank statement (soft descriptor / statement descriptor)",POST /payments (billing_descriptor in body),covered
adyen,Connector Testing Data,"Pass connector-specific testing flags/data in the request for sandbox/test mode behavior",POST /payments (connector_testing_data in router_data),covered
adyen,Dispute Accept,"Accept a chargeback dispute without contesting — connector-specific API call to the dispute service",POST /disputes/{id}/accept,not_covered
checkout,Dispute Accept,"Accept a chargeback dispute without contesting — connector-specific API call to the dispute service",POST /disputes/{id}/accept,not_covered
worldpayvantiv,Dispute Accept,"Accept a chargeback dispute without contesting — connector-specific API call to the dispute service",POST /disputes/{id}/accept,not_covered
adyen,Dispute Defend,"Submit evidence documents to defend against a chargeback dispute at the connector",POST /disputes/{id}/evidence,not_covered
checkout,Dispute Defend,"Submit evidence documents to defend against a chargeback dispute at the connector",POST /disputes/{id}/evidence,not_covered
adyen,Extended Authorization,"Extend the authorization hold window beyond the connector's default expiry period",POST /payments/{id}/extend_authorization,covered
paypal,Extended Authorization,"Extend the authorization hold window beyond the connector's default expiry period",POST /payments/{id}/extend_authorization,covered
archipel,Incremental Authorization,"Increase the authorized amount after initial authorization without re-authenticating the cardholder",POST /payments/{id}/incremental_authorization,covered
cybersource,Incremental Authorization,"Increase the authorized amount after initial authorization without re-authenticating the cardholder",POST /payments/{id}/incremental_authorization,covered
paypal,Incremental Authorization,"Increase the authorized amount after initial authorization without re-authenticating the cardholder",POST /payments/{id}/incremental_authorization,covered
