connector,payment_method,payment_method_type,feature,description,hs_endpoint,cypress_test_status
aci,BankRedirect,Eft,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
aci,BankRedirect,Eps,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
aci,BankRedirect,Giropay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
aci,BankRedirect,Ideal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
aci,BankRedirect,Interac,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
aci,BankRedirect,Przelewy24,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
aci,BankRedirect,Sofort,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
aci,BankRedirect,Trustly,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
aci,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
aci,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
aci,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
aci,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
aci,PayLater,Klarna,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
aci,Wallet,AliPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
aci,Wallet,MbWay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,BankDebit,Ach,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,BankDebit,Ach,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,BankDebit,Bacs,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,BankDebit,Bacs,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,BankDebit,Sepa,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,BankDebit,Sepa,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,BankRedirect,BancontactCard,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankRedirect,BancontactCard,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,BankRedirect,Bizum,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankRedirect,Blik,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankRedirect,Eps,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankRedirect,Ideal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankRedirect,Ideal,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,BankRedirect,OnlineBankingCzechRepublic,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankRedirect,OnlineBankingFinland,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankRedirect,OnlineBankingFpx,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankRedirect,OnlineBankingPoland,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankRedirect,OnlineBankingSlovakia,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankRedirect,OnlineBankingThailand,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankRedirect,OpenBankingUk,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankRedirect,OpenBankingUk,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,BankRedirect,Trustly,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankRedirect,Trustly,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,BankTransfer,BcaBankTransfer,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankTransfer,BniVa,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankTransfer,BriVa,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankTransfer,CimbVa,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankTransfer,DanamonVa,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankTransfer,MandiriVa,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankTransfer,PermataBankTransfer,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,BankTransfer,Pix,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
adyen,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
adyen,CardRedirect,Benefit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,CardRedirect,Knet,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,CardRedirect,MomoAtm,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,GiftCard,Givex,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,GiftCard,PaySafeCard,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,PayLater,Affirm,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,PayLater,AfterpayClearpay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,PayLater,Alma,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,PayLater,Atome,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,PayLater,Klarna,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,PayLater,Klarna,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,PayLater,PayBright,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,PayLater,Walley,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,Voucher,Alfamart,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,Voucher,Boleto,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,Voucher,FamilyMart,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,Voucher,Indomaret,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,Voucher,Lawson,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,Voucher,MiniStop,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,Voucher,Oxxo,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,Voucher,PayEasy,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,Voucher,Seicomart,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,Voucher,SevenEleven,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
adyen,Wallet,AliPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,AliPayHk,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,Wallet,Dana,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,Dana,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,Wallet,Gcash,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,Gcash,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,Wallet,GoPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,GoPay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,Wallet,KakaoPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,KakaoPay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,Wallet,MbWay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,MobilePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,Momo,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,Momo,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,Wallet,Paypal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,Paypal,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,Wallet,Paze,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,SamsungPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,Swish,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,TouchNGo,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,Twint,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,Twint,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,Wallet,Vipps,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
adyen,Wallet,Vipps,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
adyen,Wallet,WeChatPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
affirm,PayLater,Affirm,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
airwallex,BankRedirect,Blik,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
airwallex,BankRedirect,Ideal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
airwallex,BankRedirect,Trustly,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
airwallex,BankTransfer,IndonesianBankTransfer,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
airwallex,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
airwallex,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
airwallex,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
airwallex,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
airwallex,PayLater,Atome,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
airwallex,PayLater,Klarna,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
airwallex,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
airwallex,Wallet,Paypal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
airwallex,Wallet,Skrill,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
amazonpay,Wallet,AmazonPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
archipel,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
archipel,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
archipel,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
archipel,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
archipel,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
authipay,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
authipay,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
authorizedotnet,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
authorizedotnet,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
authorizedotnet,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
authorizedotnet,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
authorizedotnet,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
authorizedotnet,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
authorizedotnet,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
authorizedotnet,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
authorizedotnet,Wallet,Paypal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
bambora,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
bamboraapac,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
bamboraapac,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
bamboraapac,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
bamboraapac,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
bankofamerica,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
bankofamerica,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
bankofamerica,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
bankofamerica,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
bankofamerica,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
