feature,description,hs_endpoint,source,cypress_test_status,notes
Routing Algorithm,Payment routing rules and algorithm,POST /routing + GET /routing/{id},business_profile.rs:routing_algorithm,covered,Cypress specs: PriorityRouting VolumeBasedRouting RuleBasedRouting
Dynamic Routing,AI/ML-based dynamic routing algorithm,POST /routing (dynamic type),business_profile.rs:dynamic_routing_algorithm,covered,
FRM Routing Algorithm,Fraud risk management routing rules,POST /accounts/{merchant_id} (frm_routing_algorithm field),business_profile.rs:frm_routing_algorithm,not_covered,
Payout Routing Algorithm,Payout routing rules,POST /routing (payout type),business_profile.rs:payout_routing_algorithm,covered,
Default Fallback Routing,Fallback routing when primary routing fails,POST /business_profile (default_fallback_routing),business_profile.rs:default_fallback_routing,covered,
3DS Decision Rule Algorithm,Rules engine for 3DS authentication decisions,POST /routing (3ds decision type),business_profile.rs:three_ds_decision_rule_algorithm,covered,
External 3DS Authentication,External 3DS authentication service integration,POST /payments (request_external_three_ds_authentication),business_profile.rs:authentication_connector_details,covered,
Authentication Service Eligibility,Eligibility for authentication service,POST /payments (read during 3DS auth eligibility check),configs table:authentication_service_eligible,covered,
Eligibility Check,Perform payment eligibility checks,POST /payments/eligibility,configs table:should_perform_eligibility,covered,Cypress spec 35-PaymentsEligibilityAPI
Eligibility Data Storage For Auth,Store eligibility check data for authentication,POST /payments (read during UAS 3DS flow),configs table:should_store_eligibility_check_data_for_authentication,covered,
3DS Routing Region UAS,3DS routing region for Unified Authentication Service,POST /payments (read during UAS 3DS routing),configs table:threeds_routing_region_uas,not_covered,
PM Modular Service,Payment method modular service toggle,POST /payments/confirm + GET /payment_methods,configs table:should_call_pm_modular_service,not_covered,
Payment Link,Generate hosted payment link for a payment,POST /payments (payment_link=true) + GET /payment_link/{id},business_profile.rs:payment_link_config,covered,
Payout Link,Generate hosted payout link,POST /payouts (payout_link config),business_profile.rs:payout_link_config,not_covered,
PM Collect Link,Payment method collection link,GET /pm_collect/{id},merchant_account.rs:pm_collect_link_config,not_covered,
Customer Management,Customer CRUD operations,POST/GET/PUT/DELETE /customers,api_models/customers.rs,covered,Cypress spec 02-CustomerCreate 27-DeletedCustomerPsyncFlow 34-CustomerListTests
Blocklist,Block specific cards/fingerprints/card BINs,POST/GET/DELETE /blocklist,configs table:guard_blocklist_for,covered,Cypress spec 35-PaymentsEligibilityAPI
PM Filters CGraph,Payment method filter configuration graph,GET /payment_methods (pm_filters_cgraph applied),configs table:pm_filters_cgraph,covered,Cypress spec 24/PaymentMethodList tests
Conditional Routing DSL,Conditional payment routing domain-specific language,POST /routing (conditional config),configs table:dsl,not_covered,
Surcharge DSL,Surcharge decision logic rules,POST /routing (surcharge config),configs table:surcharge_dsl,not_covered,
Auto Retries,Automatic payment retry on failure,POST /payments (internal retry on failure),business_profile.rs:is_auto_retries_enabled,covered,Cypress spec 42-AutoRetries
Clear PAN Retries,Retry with clear PAN instead of network token,POST /payments (internal retry strategy),business_profile.rs:is_clear_pan_retries_enabled,not_covered,
Manual Retry,Manual payment retry by merchant,POST /payments/{id}/retry,business_profile.rs:is_manual_retry_enabled,covered,Cypress spec 33-ManualRetry
Requires CVV,CVV requirement for saved card payments,POST /payments (card_cvc required/optional),configs table:requires_cvv,not_covered,
Implicit Customer Update,Implicit customer record update behavior,POST /payments (internal customer update),configs table:implicit_customer_update,not_covered,
Client Session Validation,Client session token validation,POST /payments (client_secret validation),superposition:client_session_validation_enabled,not_covered,
Payment Update Via Client Auth,Allow payment updates via client authentication,PUT /payments/{id} (client auth),configs table:payment_update_enabled_for_client_auth,not_covered,
Raw PM Details Return,Return raw payment method details in response,GET /payment_methods (response format),configs table:should_return_raw_payment_method_details,not_covered,
MIT With Limited Card Data,Enable MIT with limited card data,POST /payments (MIT with limited data),configs table:should_enable_mit_with_limited_card_data,not_covered,
Extended Card BIN,Extended card BIN lookup (8-digit),POST /payments (extended BIN in response),configs table:enable_extended_card_bin,not_covered,
Extended Card Info,Extended card information display,POST /payments (extended info in response),business_profile.rs:is_extended_card_info_enabled,not_covered,
Connector Agnostic MIT,Connector-agnostic merchant-initiated transactions,POST /payments (MIT across connectors),business_profile.rs:is_connector_agnostic_mit_enabled,covered,Cypress spec 25-ConnectorAgnosticNTID
Use Billing As PM Billing,Use payment billing address as payment method billing,POST /payments (internal address mapping),business_profile.rs:use_billing_as_payment_method_billing,covered,
Tax Connector,External tax calculation connector,POST /payments (internal tax calc),business_profile.rs:is_tax_connector_enabled,not_covered,
Iframe Redirection,Enable iframe-based redirection for hosted flows,POST /payments (is_iframe_redirection_enabled),business_profile.rs:is_iframe_redirection_enabled,not_covered,
External Vault,External vault for payment method tokenization,POST /payments (external vault flow),business_profile.rs:is_external_vault_enabled,covered,Cypress spec 40-ExternalVault
CVV Collection During Payment,Collect CVV during payment for saved cards,POST /payments (CVV collection behavior),business_profile.rs:should_collect_cvv_during_payment,not_covered,
Webhook Config Disabled Events,Disable specific webhook events per connector,POST /business_profile (webhook config),configs table:whconf_disabled_events,not_covered,
Outgoing Webhook Custom Headers,Custom HTTP headers for outgoing webhooks,POST /business_profile (custom headers),business_profile.rs:outgoing_webhook_custom_http_headers,covered,Cypress spec 28-BusinessProfileConfigs (updateBusinessProfileWebhookCustomHeaders)
Webhook Details,Webhook URL and event configuration,POST /business_profile (webhook_details),business_profile.rs:webhook_details,covered,Cypress specs 44-PaymentWebhook 45-RefundWebhook
Card Testing Guard,Anti-card-testing fraud detection,POST /payments (internal fraud guard),business_profile.rs:card_testing_guard_config,covered,
Payment Response Hash,Sign payment response for integrity verification,POST /payments (hash in response),business_profile.rs:enable_payment_response_hash,not_covered,
Redirect Method,POST vs GET for merchant redirect,POST /payments (redirect behavior),business_profile.rs:redirect_to_merchant_with_http_post,covered,Cypress spec 52-MerchantRedirectMethod (PR #12200)
Session Expiry,Client secret / session expiry time,POST /payments (session timeout),business_profile.rs:session_expiry,covered,
Reconciliation,Payment reconciliation feature,Recon API endpoints,business_profile.rs:is_recon_enabled,not_covered,
Sub-Merchants,Sub-merchant management feature,POST /merchant_account (sub_merchants_enabled),merchant_account.rs:sub_merchants_enabled,not_covered,
Platform Account,Platform/marketplace account type,POST /organization + POST /merchant_account,merchant_account.rs:is_platform_account,covered,Cypress Platform/ test suite
